Wiki link,common_name,botanical_name,status,common name worked,botanical name worked,both worked,search result url,missouribotanicalgarden url,page data
https://en.wikipedia.org/wiki/Tradescantia_hirsuticaulis,Spiderwort,Tradescantia Hirsuticaulis,,,,,,,
https://en.wikipedia.org/wiki/Tradescantia_ohiensis,Bluejacket Spiderwort,Tradescantia Ohiensis,,,,,,,
https://en.wikipedia.org/wiki/Tradescantia_spathacea,Boat Lily,Tradescantia Spathacea,,,,,,,
https://en.wikipedia.org/wiki/Tricyrtis_hirta,Toad Lily,Tricyrtis Hirta,,,,,,,
https://en.wikipedia.org/wiki/Triteleia_laxa,Ithuriel's Spear,Triteleia Laxa,,,,,,,
https://en.wikipedia.org/wiki/Tropaeolum_majus,Nasturtium,Tropaeolum Majus,,,,,,,
https://en.wikipedia.org/wiki/Tsuga_canadensis,Canadian Hemlock,Tsuga Canadensis,,,,,,,
https://en.wikipedia.org/wiki/Tsuga_heterophylla,Western Hemlock,Tsuga Heterophylla,,,,,,,
https://en.wikipedia.org/wiki/Tsuga_mertensiana,Mountain Hemlock,Tsuga Mertensiana,,,,,,,
https://en.wikipedia.org/wiki/Turnera_ulmifolia,Buttercup,Turnera Ulmifolia,,,,,,,
https://en.wikipedia.org/wiki/Ugni_molinae,Chilean Guava,Ugni Molinae,,,,,,,
https://en.wikipedia.org/wiki/Ulmus_americana,American Elm,Ulmus Americana,,,,,,,
https://en.wikipedia.org/wiki/Vaccinium_angustifolium,Lowbush Blueberry,Vaccinium Angustifolium,,,,,,,
https://en.wikipedia.org/wiki/Vaccinium_corymbosum,Highbush Blueberry,Vaccinium Corymbosum,,,,,,,
https://en.wikipedia.org/wiki/Vaccinium_elliottii,Elliott Blueberry,Vaccinium Elliottii,,,,,,,
https://en.wikipedia.org/wiki/Vaccinium_macrocarpon,Cranberry,Vaccinium Macrocarpon,,,,,,,
https://en.wikipedia.org/wiki/Valeriana_officinalis,Valerian,Valeriana Officinalis,,,,,,,
https://en.wikipedia.org/wiki/Vauquelinia_californica,California Rosewood,Vauquelinia Californica,,,,,,,
https://en.wikipedia.org/wiki/Verbena_hastata,Blue Vervain,Verbena Hastata,,,,,,,
https://en.wikipedia.org/wiki/Verbena_stricta,Hoary Verbena,Verbena Stricta,,,,,,,
https://en.wikipedia.org/wiki/Vernonia_noveboracensis,New York Ironweed,Vernonia Noveboracensis,,,,,,,
https://en.wikipedia.org/wiki/Veronica_spicata,Speedwell,Veronica Spicata,,,,,,,
https://en.wikipedia.org/wiki/Veronicastrum_virginicum,Culver's Root,Veronicastrum Virginicum,,,,,,,
https://en.wikipedia.org/wiki/Viburnum_carlesii,Koreanspice Viburnum,Viburnum Carlesii,,,,,,,
https://en.wikipedia.org/wiki/Viburnum_dentatum,Arrowwood Viburnum,Viburnum Dentatum,,,,,,,
https://en.wikipedia.org/wiki/Viburnum_japonicum,Japanese Snowball,Viburnum Japonicum,,,,,,,
https://en.wikipedia.org/wiki/Viburnum_lentago,Nannyberry Viburnum,Viburnum Lentago,,,,,,,
https://en.wikipedia.org/wiki/Viburnum_obovatum,Walter's Viburnum,Viburnum Obovatum,,,,,,,
https://en.wikipedia.org/wiki/Viburnum_odoratissimum,Sweet Viburnum,Viburnum Odoratissimum,,,,,,,
https://en.wikipedia.org/wiki/Viburnum_opulus,Eastern Snowball Viburnum,Viburnum Opulus,,,,,,,
https://en.wikipedia.org/wiki/Viburnum_rhytidophyllum,Leatherleaf Viburnum,Viburnum Rhytidophyllum,,,,,,,
https://en.wikipedia.org/wiki/Viburnum_suspensum,Sandankwa Viburnum,Viburnum Suspensum,,,,,,,
https://en.wikipedia.org/wiki/Vigna_caracalla,Corkscrew Flower,Vigna Caracalla,,,,,,,
https://en.wikipedia.org/wiki/Vinca_major,Large Periwinkle,Vinca Major,,,,,,,
https://en.wikipedia.org/wiki/Vinca_minor,Periwinkle,Vinca Minor,,,,,,,
https://en.wikipedia.org/wiki/Viola_labradorica,Labrador Violet,Viola Labradorica,,,,,,,
https://en.wikipedia.org/wiki/Viola_odorata,Sweet Violet,Viola Odorata,,,,,,,
https://en.wikipedia.org/wiki/Vitis_rotundifolia,Muscadine Grape,Vitis Rotundifolia,,,,,,,
https://en.wikipedia.org/wiki/Washingtonia_filifera,California Fan Palm,Washingtonia Filifera,,,,,,,
